yr,r,source,units,value
1997,al,col,million metric tons of carbon dioxide,81.7
1997,ak,col,million metric tons of carbon dioxide,1.1
1997,az,col,million metric tons of carbon dioxide,34.9
1997,ar,col,million metric tons of carbon dioxide,23.3
1997,ca,col,million metric tons of carbon dioxide,7.8
1997,co,col,million metric tons of carbon dioxide,34.2
1997,ct,col,million metric tons of carbon dioxide,4.2
1997,de,col,million metric tons of carbon dioxide,4.6
1997,dc,col,million metric tons of carbon dioxide,0.1
1997,fl,col,million metric tons of carbon dioxide,71.0
1997,ga,col,million metric tons of carbon dioxide,72.5
1997,hi,col,million metric tons of carbon dioxide,1.9
1997,id,col,million metric tons of carbon dioxide,0.6
1997,il,col,million metric tons of carbon dioxide,91.9
1997,in,col,million metric tons of carbon dioxide,134.1
1997,ia,col,million metric tons of carbon dioxide,37.0
1997,ks,col,million metric tons of carbon dioxide,29.4
1997,ky,col,million metric tons of carbon dioxide,92.3
1997,la,col,million metric tons of carbon dioxide,21.3
1997,me,col,million metric tons of carbon dioxide,0.8
1997,md,col,million metric tons of carbon dioxide,27.4
1997,ma,col,million metric tons of carbon dioxide,11.6
1997,mi,col,million metric tons of carbon dioxide,73.7
1997,mn,col,million metric tons of carbon dioxide,32.3
1997,ms,col,million metric tons of carbon dioxide,12.5
1997,mo,col,million metric tons of carbon dioxide,63.3
1997,mt,col,million metric tons of carbon dioxide,15.4
1997,ne,col,million metric tons of carbon dioxide,18.3
1997,nv,col,million metric tons of carbon dioxide,15.7
1997,nh,col,million metric tons of carbon dioxide,4.2
1997,nj,col,million metric tons of carbon dioxide,9.4
1997,nm,col,million metric tons of carbon dioxide,27.2
1997,ny,col,million metric tons of carbon dioxide,30.6
1997,nc,col,million metric tons of carbon dioxide,72.3
1997,nd,col,million metric tons of carbon dioxide,36.4
1997,oh,col,million metric tons of carbon dioxide,132.8
1997,ok,col,million metric tons of carbon dioxide,37.1
1997,or,col,million metric tons of carbon dioxide,1.5
1997,pa,col,million metric tons of carbon dioxide,147.7
1997,ri,col,million metric tons of carbon dioxide,0.0
1997,sc,col,million metric tons of carbon dioxide,34.1
1997,sd,col,million metric tons of carbon dioxide,4.1
1997,tn,col,million metric tons of carbon dioxide,64.3
1997,tx,col,million metric tons of carbon dioxide,143.8
1997,ut,col,million metric tons of carbon dioxide,35.4
1997,vt,col,million metric tons of carbon dioxide,0.3
1997,va,col,million metric tons of carbon dioxide,40.8
1997,wa,col,million metric tons of carbon dioxide,7.6
1997,wv,col,million metric tons of carbon dioxide,88.5
1997,wi,col,million metric tons of carbon dioxide,46.0
1997,wy,col,million metric tons of carbon dioxide,44.2
1997,us,col,million metric tons of carbon dioxide,2023.4
1998,al,col,million metric tons of carbon dioxide,80.8
1998,ak,col,million metric tons of carbon dioxide,1.6
1998,az,col,million metric tons of carbon dioxide,36.5
1998,ar,col,million metric tons of carbon dioxide,24.1
