yr,r,n,units,value
2012,al,111,billions of us dollars (USD),1.241618
2012,al,1111,billions of us dollars (USD),0.396493
2012,al,11111,billions of us dollars (USD),0.101975
2012,al,11113,billions of us dollars (USD),0.000142
2012,al,11114,billions of us dollars (USD),0.002878
2012,al,11115,billions of us dollars (USD),0.072383
2012,al,11119,billions of us dollars (USD),0.219114
2012,al,1112,billions of us dollars (USD),0.045128
2012,al,111211,billions of us dollars (USD),0.00263
2012,al,111219,billions of us dollars (USD),0.042498
2012,al,1113,billions of us dollars (USD),0.02166
2012,al,11132,billions of us dollars (USD),0.0
2012,al,11133,billions of us dollars (USD),0.0
2012,al,111331,billions of us dollars (USD),0.0
2012,al,111332,billions of us dollars (USD),0.001274
2012,al,111333,billions of us dollars (USD),0.000355
2012,al,111334,billions of us dollars (USD),0.0
2012,al,111335,billions of us dollars (USD),0.009595
2012,al,111336,billions of us dollars (USD),0.000457
2012,al,111339,billions of us dollars (USD),0.006372
2012,al,1114,billions of us dollars (USD),0.25111
2012,al,11141,billions of us dollars (USD),0.003824
2012,al,11142,billions of us dollars (USD),0.247285
2012,al,111421,billions of us dollars (USD),0.154249
2012,al,111422,billions of us dollars (USD),0.093037
2012,al,1119,billions of us dollars (USD),0.527228
2012,al,11192,billions of us dollars (USD),0.151956
2012,al,11194,billions of us dollars (USD),0.044464
2012,al,11199,billions of us dollars (USD),0.330808
2012,al,112,billions of us dollars (USD),0.073353
2012,al,1121,billions of us dollars (USD),0.023385
2012,al,11211,billions of us dollars (USD),0.02127
2012,al,112111,billions of us dollars (USD),0.02127
2012,al,11212,billions of us dollars (USD),0.002116
2012,al,1122,billions of us dollars (USD),0.000673
2012,al,1123,billions of us dollars (USD),0.045262
2012,al,11231,billions of us dollars (USD),0.007512
2012,al,11232,billions of us dollars (USD),0.037037
2012,al,11234,billions of us dollars (USD),0.0
2012,al,11239,billions of us dollars (USD),0.0
2012,al,1124,billions of us dollars (USD),0.000131
2012,al,11241,billions of us dollars (USD),4.8e-5
2012,al,11242,billions of us dollars (USD),8.3e-5
2012,al,1125,billions of us dollars (USD),0.001126
2012,al,1129,billions of us dollars (USD),0.002775
2012,al,11291,billions of us dollars (USD),0.0
2012,al,11292,billions of us dollars (USD),0.000204
2012,al,11293,billions of us dollars (USD),0.0
2012,al,11299,billions of us dollars (USD),0.002558
2012,ak,111,billions of us dollars (USD),0.024556
2012,ak,1111,billions of us dollars (USD),0.0
2012,ak,11114,billions of us dollars (USD),0.0
2012,ak,11119,billions of us dollars (USD),0.0
2012,ak,1112,billions of us dollars (USD),0.0
2012,ak,111211,billions of us dollars (USD),0.0
2012,ak,111219,billions of us dollars (USD),0.0
2012,ak,1113,billions of us dollars (USD),0.0
2012,ak,11133,billions of us dollars (USD),0.0
2012,ak,111331,billions of us dollars (USD),0.0
2012,ak,111333,billions of us dollars (USD),0.0
2012,ak,111334,billions of us dollars (USD),0.0
2012,ak,111339,billions of us dollars (USD),0.0
2012,ak,1114,billions of us dollars (USD),0.0
2012,ak,11141,billions of us dollars (USD),0.0
2012,ak,11142,billions of us dollars (USD),0.012115
2012,ak,111421,billions of us dollars (USD),0.001486
2012,ak,111422,billions of us dollars (USD),0.010628
2012,ak,1119,billions of us dollars (USD),0.0
2012,ak,11194,billions of us dollars (USD),0.0
2012,ak,11199,billions of us dollars (USD),0.00029
2012,ak,112,billions of us dollars (USD),0.000302
2012,ak,1121,billions of us dollars (USD),0.0
2012,ak,11211,billions of us dollars (USD),0.0
2012,ak,112111,billions of us dollars (USD),0.000141
2012,ak,112112,billions of us dollars (USD),0.0
2012,ak,11212,billions of us dollars (USD),0.0
2012,ak,1122,billions of us dollars (USD),0.0
2012,ak,1123,billions of us dollars (USD),0.0
2012,ak,11231,billions of us dollars (USD),0.0
2012,ak,11239,billions of us dollars (USD),0.0
2012,ak,1124,billions of us dollars (USD),1.2e-5
2012,ak,11242,billions of us dollars (USD),1.2e-5
2012,ak,1129,billions of us dollars (USD),0.0
2012,ak,11291,billions of us dollars (USD),0.0
2012,ak,11292,billions of us dollars (USD),0.0
2012,ak,11299,billions of us dollars (USD),0.0
2012,az,111,billions of us dollars (USD),2.072074
2012,az,1111,billions of us dollars (USD),0.110699
2012,az,11113,billions of us dollars (USD),0.0
2012,az,11114,billions of us dollars (USD),0.0
2012,az,11115,billions of us dollars (USD),0.0
2012,az,11119,billions of us dollars (USD),0.0
2012,az,1112,billions of us dollars (USD),0.812268
2012,az,111211,billions of us dollars (USD),0.000106
2012,az,111219,billions of us dollars (USD),0.812162
2012,az,1113,billions of us dollars (USD),0.112142
2012,az,11131,billions of us dollars (USD),0.0
2012,az,11132,billions of us dollars (USD),0.0
2012,az,11133,billions of us dollars (USD),0.079515
2012,az,111331,billions of us dollars (USD),0.002004
2012,az,111332,billions of us dollars (USD),0.0
2012,az,111334,billions of us dollars (USD),1.1e-5
2012,az,111335,billions of us dollars (USD),0.058308
2012,az,111336,billions of us dollars (USD),0.0
2012,az,111339,billions of us dollars (USD),0.015283
2012,az,1114,billions of us dollars (USD),0.320494
2012,az,11141,billions of us dollars (USD),0.0
2012,az,11142,billions of us dollars (USD),0.0
2012,az,111421,billions of us dollars (USD),0.182361
2012,az,111422,billions of us dollars (USD),0.0
2012,az,1119,billions of us dollars (USD),0.716471
2012,az,11192,billions of us dollars (USD),0.0
2012,az,11194,billions of us dollars (USD),0.0
2012,az,11199,billions of us dollars (USD),0.187228
2012,az,112,billions of us dollars (USD),0.004494
2012,az,1121,billions of us dollars (USD),0.003295
2012,az,11211,billions of us dollars (USD),0.002462
2012,az,112111,billions of us dollars (USD),0.0
2012,az,112112,billions of us dollars (USD),0.0
2012,az,11212,billions of us dollars (USD),0.000832
2012,az,1122,billions of us dollars (USD),1.0e-6
2012,az,1123,billions of us dollars (USD),2.3e-5
2012,az,11231,billions of us dollars (USD),7.0e-6
2012,az,11232,billions of us dollars (USD),0.0
2012,az,11233,billions of us dollars (USD),0.0
2012,az,11239,billions of us dollars (USD),9.0e-6
2012,az,1124,billions of us dollars (USD),0.0
2012,az,11241,billions of us dollars (USD),0.0
2012,az,11242,billions of us dollars (USD),0.0
2012,az,1125,billions of us dollars (USD),0.0
2012,az,1129,billions of us dollars (USD),0.0
2012,az,11292,billions of us dollars (USD),0.000109
2012,az,11299,billions of us dollars (USD),0.0
2012,ar,111,billions of us dollars (USD),4.799143
2012,ar,1111,billions of us dollars (USD),4.290901
2012,ar,11111,billions of us dollars (USD),1.232457
2012,ar,11114,billions of us dollars (USD),0.009213
2012,ar,11115,billions of us dollars (USD),0.348934
2012,ar,11116,billions of us dollars (USD),1.040132
2012,ar,11119,billions of us dollars (USD),1.660165
2012,ar,1112,billions of us dollars (USD),0.035424
2012,ar,111211,billions of us dollars (USD),0.010822
2012,ar,111219,billions of us dollars (USD),0.024603
2012,ar,1113,billions of us dollars (USD),0.013018
2012,ar,11133,billions of us dollars (USD),0.013018
2012,ar,111331,billions of us dollars (USD),0.000201
2012,ar,111332,billions of us dollars (USD),0.002104
2012,ar,111333,billions of us dollars (USD),2.0e-5
2012,ar,111334,billions of us dollars (USD),0.002549
2012,ar,111335,billions of us dollars (USD),0.006171
2012,ar,111339,billions of us dollars (USD),0.001972
2012,ar,1114,billions of us dollars (USD),0.042338
2012,ar,11141,billions of us dollars (USD),0.0
2012,ar,11142,billions of us dollars (USD),0.0
2012,ar,111421,billions of us dollars (USD),0.015507
2012,ar,111422,billions of us dollars (USD),0.0
2012,ar,1119,billions of us dollars (USD),0.417462
2012,ar,11192,billions of us dollars (USD),0.376804
2012,ar,11194,billions of us dollars (USD),0.036419
2012,ar,11199,billions of us dollars (USD),0.004239
2012,ar,112,billions of us dollars (USD),0.035735
2012,ar,1121,billions of us dollars (USD),0.021087
2012,ar,11211,billions of us dollars (USD),0.020688
2012,ar,112111,billions of us dollars (USD),0.0
2012,ar,112112,billions of us dollars (USD),0.0
2012,ar,11212,billions of us dollars (USD),0.000399
2012,ar,1122,billions of us dollars (USD),0.000204
2012,ar,1123,billions of us dollars (USD),0.013149
2012,ar,11231,billions of us dollars (USD),0.001726
2012,ar,11232,billions of us dollars (USD),0.010683
2012,ar,11233,billions of us dollars (USD),0.000588
2012,ar,11239,billions of us dollars (USD),0.000152
2012,ar,1124,billions of us dollars (USD),0.000119
2012,ar,11241,billions of us dollars (USD),5.3e-5
2012,ar,11242,billions of us dollars (USD),6.6e-5
2012,ar,1125,billions of us dollars (USD),0.000237
2012,ar,1129,billions of us dollars (USD),0.000941
2012,ar,11291,billions of us dollars (USD),0.0
2012,ar,11292,billions of us dollars (USD),0.0
2012,ar,11293,billions of us dollars (USD),0.0
2012,ar,11299,billions of us dollars (USD),0.000839
2012,ca,111,billions of us dollars (USD),30.056994
2012,ca,1111,billions of us dollars (USD),1.10659
2012,ca,11112,billions of us dollars (USD),0.0
2012,ca,11113,billions of us dollars (USD),0.0
2012,ca,11114,billions of us dollars (USD),0.03518
2012,ca,11115,billions of us dollars (USD),0.161604
2012,ca,11116,billions of us dollars (USD),0.740782
2012,ca,11119,billions of us dollars (USD),0.155741
2012,ca,1112,billions of us dollars (USD),6.389735
2012,ca,111211,billions of us dollars (USD),0.215297
2012,ca,111219,billions of us dollars (USD),6.174437
2012,ca,1113,billions of us dollars (USD),17.35027
2012,ca,11131,billions of us dollars (USD),0.0
2012,ca,11132,billions of us dollars (USD),0.0
2012,ca,11133,billions of us dollars (USD),16.361113
2012,ca,111331,billions of us dollars (USD),0.045466
2012,ca,111332,billions of us dollars (USD),6.379887
2012,ca,111333,billions of us dollars (USD),1.717737
2012,ca,111334,billions of us dollars (USD),0.205838
2012,ca,111335,billions of us dollars (USD),6.329779
2012,ca,111336,billions of us dollars (USD),0.432888
2012,ca,111339,billions of us dollars (USD),1.249518
2012,ca,1114,billions of us dollars (USD),2.512972
2012,ca,11141,billions of us dollars (USD),0.410301
2012,ca,11142,billions of us dollars (USD),2.102671
2012,ca,111421,billions of us dollars (USD),1.055999
2012,ca,111422,billions of us dollars (USD),1.046672
2012,ca,1119,billions of us dollars (USD),2.697427
2012,ca,11192,billions of us dollars (USD),0.552218
2012,ca,11194,billions of us dollars (USD),0.802586
2012,ca,11199,billions of us dollars (USD),1.342623
2012,ca,112,billions of us dollars (USD),0.309904
2012,ca,1121,billions of us dollars (USD),0.284659
2012,ca,11211,billions of us dollars (USD),0.058838
2012,ca,112111,billions of us dollars (USD),0.057998
2012,ca,112112,billions of us dollars (USD),0.00084
2012,ca,11212,billions of us dollars (USD),0.225821
2012,ca,1122,billions of us dollars (USD),0.0
2012,ca,1123,billions of us dollars (USD),0.014578
2012,ca,11231,billions of us dollars (USD),0.0048
2012,ca,11232,billions of us dollars (USD),0.005461
2012,ca,11233,billions of us dollars (USD),0.0
2012,ca,11234,billions of us dollars (USD),0.0
2012,ca,11239,billions of us dollars (USD),0.002401
2012,ca,1124,billions of us dollars (USD),0.006135
2012,ca,11241,billions of us dollars (USD),0.006013
2012,ca,11242,billions of us dollars (USD),0.000122
2012,ca,1125,billions of us dollars (USD),0.0
2012,ca,1129,billions of us dollars (USD),0.003796
2012,ca,11291,billions of us dollars (USD),0.0
2012,ca,11292,billions of us dollars (USD),0.000517
2012,ca,11293,billions of us dollars (USD),0.0
2012,ca,11299,billions of us dollars (USD),0.002822
2012,co,111,billions of us dollars (USD),2.28502
2012,co,1111,billions of us dollars (USD),1.369162
2012,co,11111,billions of us dollars (USD),2.5e-5
2012,co,11112,billions of us dollars (USD),0.0
2012,co,11113,billions of us dollars (USD),0.0
2012,co,11114,billions of us dollars (USD),0.0
2012,co,11115,billions of us dollars (USD),0.817927
2012,co,11119,billions of us dollars (USD),0.18236
2012,co,1112,billions of us dollars (USD),0.300489
2012,co,111211,billions of us dollars (USD),0.206335
2012,co,111219,billions of us dollars (USD),0.094154
2012,co,1113,billions of us dollars (USD),0.023344
2012,co,11133,billions of us dollars (USD),0.023344
2012,co,111331,billions of us dollars (USD),0.002917
2012,co,111332,billions of us dollars (USD),0.0
2012,co,111333,billions of us dollars (USD),2.0e-6
2012,co,111334,billions of us dollars (USD),0.0
2012,co,111335,billions of us dollars (USD),0.0
2012,co,111336,billions of us dollars (USD),0.0
2012,co,111339,billions of us dollars (USD),0.017933
2012,co,1114,billions of us dollars (USD),0.276225
2012,co,11141,billions of us dollars (USD),0.020623
2012,co,11142,billions of us dollars (USD),0.255602
2012,co,111421,billions of us dollars (USD),0.151571
2012,co,111422,billions of us dollars (USD),0.10403
2012,co,1119,billions of us dollars (USD),0.315801
2012,co,11194,billions of us dollars (USD),0.239477
2012,co,11199,billions of us dollars (USD),0.076324
2012,co,112,billions of us dollars (USD),0.149562
2012,co,1121,billions of us dollars (USD),0.143167
2012,co,11211,billions of us dollars (USD),0.132323
2012,co,112111,billions of us dollars (USD),0.086728
2012,co,112112,billions of us dollars (USD),0.045595
2012,co,11212,billions of us dollars (USD),0.010843
2012,co,1122,billions of us dollars (USD),0.0
2012,co,1123,billions of us dollars (USD),0.0
2012,co,11231,billions of us dollars (USD),0.0
2012,co,11239,billions of us dollars (USD),0.000164
2012,co,1124,billions of us dollars (USD),0.002536
2012,co,11241,billions of us dollars (USD),0.002477
2012,co,11242,billions of us dollars (USD),5.9e-5
2012,co,1125,billions of us dollars (USD),0.0
2012,co,1129,billions of us dollars (USD),0.002609
2012,co,11291,billions of us dollars (USD),1.4e-5
2012,co,11292,billions of us dollars (USD),0.000525
2012,co,11299,billions of us dollars (USD),0.00207
2012,ct,111,billions of us dollars (USD),0.375168
2012,ct,1111,billions of us dollars (USD),0.007364
2012,ct,11111,billions of us dollars (USD),0.0
2012,ct,11114,billions of us dollars (USD),0.0
2012,ct,11115,billions of us dollars (USD),0.0
2012,ct,11119,billions of us dollars (USD),0.0
2012,ct,1112,billions of us dollars (USD),0.032965
2012,ct,111211,billions of us dollars (USD),0.0
2012,ct,111219,billions of us dollars (USD),0.0
2012,ct,1113,billions of us dollars (USD),0.027068
2012,ct,11133,billions of us dollars (USD),0.027068
2012,ct,111331,billions of us dollars (USD),0.015573
2012,ct,111332,billions of us dollars (USD),0.001925
2012,ct,111333,billions of us dollars (USD),0.0
2012,ct,111334,billions of us dollars (USD),0.002296
2012,ct,111335,billions of us dollars (USD),0.0
2012,ct,111336,billions of us dollars (USD),0.0
2012,ct,111339,billions of us dollars (USD),0.0
2012,ct,1114,billions of us dollars (USD),0.258589
2012,ct,11141,billions of us dollars (USD),0.003574
2012,ct,11142,billions of us dollars (USD),0.255015
2012,ct,111421,billions of us dollars (USD),0.12603
2012,ct,111422,billions of us dollars (USD),0.128985
2012,ct,1119,billions of us dollars (USD),0.049181
2012,ct,11191,billions of us dollars (USD),0.0
2012,ct,11194,billions of us dollars (USD),0.0
2012,ct,11199,billions of us dollars (USD),0.0
2012,ct,112,billions of us dollars (USD),0.01397
2012,ct,1121,billions of us dollars (USD),0.013512
2012,ct,11211,billions of us dollars (USD),0.000355
2012,ct,112111,billions of us dollars (USD),0.0
2012,ct,112112,billions of us dollars (USD),0.0
2012,ct,11212,billions of us dollars (USD),0.013157
2012,ct,1122,billions of us dollars (USD),7.2e-5
2012,ct,1123,billions of us dollars (USD),7.0e-5
2012,ct,11231,billions of us dollars (USD),1.4e-5
2012,ct,11232,billions of us dollars (USD),0.0
2012,ct,11233,billions of us dollars (USD),0.0
2012,ct,11239,billions of us dollars (USD),2.8e-5
2012,ct,1124,billions of us dollars (USD),0.0
2012,ct,11241,billions of us dollars (USD),5.2e-5
2012,ct,11242,billions of us dollars (USD),0.0
2012,ct,1125,billions of us dollars (USD),0.0
2012,ct,1129,billions of us dollars (USD),0.000253
2012,ct,11291,billions of us dollars (USD),4.1e-5
2012,ct,11292,billions of us dollars (USD),2.9e-5
2012,ct,11299,billions of us dollars (USD),0.000183
2012,de,111,billions of us dollars (USD),0.37758
2012,de,1111,billions of us dollars (USD),0.303622
2012,de,11111,billions of us dollars (USD),0.0
2012,de,11114,billions of us dollars (USD),0.0
2012,de,11115,billions of us dollars (USD),0.117605
2012,de,11119,billions of us dollars (USD),0.1658
2012,de,1112,billions of us dollars (USD),0.04871
2012,de,111211,billions of us dollars (USD),0.002741
2012,de,111219,billions of us dollars (USD),0.045969
2012,de,1113,billions of us dollars (USD),0.0
2012,de,11133,billions of us dollars (USD),0.0
2012,de,111331,billions of us dollars (USD),0.0
2012,de,111332,billions of us dollars (USD),0.0
2012,de,111333,billions of us dollars (USD),0.0
2012,de,111334,billions of us dollars (USD),4.5e-5
2012,de,111339,billions of us dollars (USD),0.0
2012,de,1114,billions of us dollars (USD),0.0
2012,de,11141,billions of us dollars (USD),0.0
2012,de,11142,billions of us dollars (USD),0.008296
2012,de,111421,billions of us dollars (USD),0.0
2012,de,111422,billions of us dollars (USD),0.0
2012,de,1119,billions of us dollars (USD),0.012614
2012,de,11194,billions of us dollars (USD),0.003103
2012,de,11199,billions of us dollars (USD),0.009511
2012,de,112,billions of us dollars (USD),0.051458
2012,de,1121,billions of us dollars (USD),0.0
2012,de,11211,billions of us dollars (USD),0.0
2012,de,112111,billions of us dollars (USD),0.000673
2012,de,112112,billions of us dollars (USD),0.0
2012,de,11212,billions of us dollars (USD),0.0
2012,de,1123,billions of us dollars (USD),0.046393
2012,de,11231,billions of us dollars (USD),0.0
2012,de,11232,billions of us dollars (USD),0.045765
2012,de,11239,billions of us dollars (USD),0.0
2012,de,1124,billions of us dollars (USD),0.0
2012,de,11242,billions of us dollars (USD),0.0
2012,de,1129,billions of us dollars (USD),0.0
2012,de,11292,billions of us dollars (USD),0.0
2012,de,11299,billions of us dollars (USD),0.0
2012,fl,111,billions of us dollars (USD),5.923121
2012,fl,1111,billions of us dollars (USD),0.019222
2012,fl,11111,billions of us dollars (USD),0.002205
2012,fl,11113,billions of us dollars (USD),0.0
2012,fl,11114,billions of us dollars (USD),0.0
2012,fl,11115,billions of us dollars (USD),0.0
2012,fl,11116,billions of us dollars (USD),0.0
2012,fl,11119,billions of us dollars (USD),0.0
2012,fl,1112,billions of us dollars (USD),1.406984
2012,fl,111211,billions of us dollars (USD),0.156135
2012,fl,111219,billions of us dollars (USD),1.250849
2012,fl,1113,billions of us dollars (USD),1.81927
2012,fl,11131,billions of us dollars (USD),1.376533
2012,fl,11132,billions of us dollars (USD),0.129199
2012,fl,11133,billions of us dollars (USD),0.313538
2012,fl,111331,billions of us dollars (USD),2.1e-5
2012,fl,111332,billions of us dollars (USD),0.002688
2012,fl,111333,billions of us dollars (USD),0.126013
2012,fl,111334,billions of us dollars (USD),0.073155
2012,fl,111335,billions of us dollars (USD),0.010927
2012,fl,111336,billions of us dollars (USD),0.000245
2012,fl,111339,billions of us dollars (USD),0.100489
2012,fl,1114,billions of us dollars (USD),1.690714
2012,fl,11141,billions of us dollars (USD),0.049634
2012,fl,11142,billions of us dollars (USD),1.64108
2012,fl,111421,billions of us dollars (USD),0.859411
2012,fl,111422,billions of us dollars (USD),0.781669
2012,fl,1119,billions of us dollars (USD),0.986931
2012,fl,11191,billions of us dollars (USD),0.0
2012,fl,11192,billions of us dollars (USD),0.0
2012,fl,11193,billions of us dollars (USD),0.625045
2012,fl,11194,billions of us dollars (USD),0.032686
2012,fl,11199,billions of us dollars (USD),0.283973
2012,fl,112,billions of us dollars (USD),0.046278
2012,fl,1121,billions of us dollars (USD),0.039473
2012,fl,11211,billions of us dollars (USD),0.034719
2012,fl,112111,billions of us dollars (USD),0.034719
2012,fl,11212,billions of us dollars (USD),0.004754
2012,fl,1122,billions of us dollars (USD),2.6e-5
2012,fl,1123,billions of us dollars (USD),0.005297
2012,fl,11231,billions of us dollars (USD),0.001128
2012,fl,11232,billions of us dollars (USD),0.003883
2012,fl,11239,billions of us dollars (USD),0.000286
2012,fl,1124,billions of us dollars (USD),3.0e-5
2012,fl,11241,billions of us dollars (USD),1.6e-5
2012,fl,11242,billions of us dollars (USD),1.4e-5
2012,fl,1125,billions of us dollars (USD),0.000209
2012,fl,1129,billions of us dollars (USD),0.001244
2012,fl,11291,billions of us dollars (USD),0.0
2012,fl,11292,billions of us dollars (USD),0.000619
2012,fl,11293,billions of us dollars (USD),0.0
2012,fl,11299,billions of us dollars (USD),0.000466
2012,ga,111,billions of us dollars (USD),3.561189
2012,ga,1111,billions of us dollars (USD),0.269623
2012,ga,11111,billions of us dollars (USD),0.029405
2012,ga,11112,billions of us dollars (USD),0.0
2012,ga,11113,billions of us dollars (USD),0.0
2012,ga,11114,billions of us dollars (USD),0.011089
2012,ga,11115,billions of us dollars (USD),0.106408
2012,ga,11119,billions of us dollars (USD),0.122712
2012,ga,1112,billions of us dollars (USD),0.367851
2012,ga,111211,billions of us dollars (USD),0.0
2012,ga,111219,billions of us dollars (USD),0.0
2012,ga,1113,billions of us dollars (USD),0.280693
2012,ga,11132,billions of us dollars (USD),0.0
2012,ga,11133,billions of us dollars (USD),0.0
2012,ga,111331,billions of us dollars (USD),0.001173
2012,ga,111332,billions of us dollars (USD),0.007281
2012,ga,111333,billions of us dollars (USD),0.0
2012,ga,111334,billions of us dollars (USD),0.063817
2012,ga,111335,billions of us dollars (USD),0.147868
2012,ga,111336,billions of us dollars (USD),0.000216
2012,ga,111339,billions of us dollars (USD),0.060068
2012,ga,1114,billions of us dollars (USD),0.254061
2012,ga,11141,billions of us dollars (USD),0.001846
2012,ga,11142,billions of us dollars (USD),0.252215
2012,ga,111421,billions of us dollars (USD),0.189187
2012,ga,111422,billions of us dollars (USD),0.063028
2012,ga,1119,billions of us dollars (USD),2.388961
2012,ga,11191,billions of us dollars (USD),0.0
