yr,r,pg,units,value
1997,us,pce,billions of us dollars (USD),5534.0918
1997,us,gds,billions of us dollars (USD),2003.8072
1997,us,dur,billions of us dollars (USD),715.5296
1997,us,mvp,billions of us dollars (USD),293.0825
1997,us,hdr,billions of us dollars (USD),160.4902
1997,us,rec,billions of us dollars (USD),174.632
1997,us,odg,billions of us dollars (USD),87.3248
1997,us,ndr,billions of us dollars (USD),1288.2777
1997,us,foo,billions of us dollars (USD),474.7772
1997,us,clo,billions of us dollars (USD),247.4961
1997,us,enr,billions of us dollars (USD),147.6612
1997,us,ong,billions of us dollars (USD),418.3431
1997,us,ser,billions of us dollars (USD),3530.2846
1997,us,hce,billions of us dollars (USD),3424.6966
1997,us,utl,billions of us dollars (USD),1009.8223
1997,us,hea,billions of us dollars (USD),790.9477
1997,us,trn,billions of us dollars (USD),211.8032
1997,us,rsr,billions of us dollars (USD),208.317
1997,us,htl,billions of us dollars (USD),343.4275
1997,us,fsr,billions of us dollars (USD),408.8842
1997,us,osr,billions of us dollars (USD),451.4948
1997,us,npish,billions of us dollars (USD),105.588
1997,us,npi,billions of us dollars (USD),502.6245
1997,us,nps,billions of us dollars (USD),397.0365
1997,al,pce,billions of us dollars (USD),74.3403
1997,al,gds,billions of us dollars (USD),30.2959
1997,al,dur,billions of us dollars (USD),10.1021
1997,al,mvp,billions of us dollars (USD),4.8919
1997,al,hdr,billions of us dollars (USD),2.2214
1997,al,rec,billions of us dollars (USD),1.9078
1997,al,odg,billions of us dollars (USD),1.081
1997,al,ndr,billions of us dollars (USD),20.1938
1997,al,foo,billions of us dollars (USD),7.7429
1997,al,clo,billions of us dollars (USD),3.5495
1997,al,enr,billions of us dollars (USD),2.4372
1997,al,ong,billions of us dollars (USD),6.4642
1997,al,ser,billions of us dollars (USD),44.0445
1997,al,hce,billions of us dollars (USD),43.2445
1997,al,utl,billions of us dollars (USD),10.9651
1997,al,hea,billions of us dollars (USD),12.4768
1997,al,trn,billions of us dollars (USD),2.0982
1997,al,rsr,billions of us dollars (USD),3.2745
1997,al,htl,billions of us dollars (USD),4.1947
1997,al,fsr,billions of us dollars (USD),4.7541
1997,al,osr,billions of us dollars (USD),5.4812
1997,al,npish,billions of us dollars (USD),0.8
1997,al,npi,billions of us dollars (USD),6.32
1997,al,nps,billions of us dollars (USD),5.52
1997,ak,pce,billions of us dollars (USD),13.7993
1997,ak,gds,billions of us dollars (USD),5.1205
1997,ak,dur,billions of us dollars (USD),1.6852
1997,ak,mvp,billions of us dollars (USD),0.5737
1997,ak,hdr,billions of us dollars (USD),0.3615
1997,ak,rec,billions of us dollars (USD),0.524
1997,ak,odg,billions of us dollars (USD),0.226
1997,ak,ndr,billions of us dollars (USD),3.4353
1997,ak,foo,billions of us dollars (USD),1.4632
1997,ak,clo,billions of us dollars (USD),0.5135
1997,ak,enr,billions of us dollars (USD),0.4665
1997,ak,ong,billions of us dollars (USD),0.9921
1997,ak,ser,billions of us dollars (USD),8.6788
1997,ak,hce,billions of us dollars (USD),8.2478
1997,ak,utl,billions of us dollars (USD),2.3488
1997,ak,hea,billions of us dollars (USD),1.719
1997,ak,trn,billions of us dollars (USD),0.4527
1997,ak,rsr,billions of us dollars (USD),0.39
1997,ak,htl,billions of us dollars (USD),1.0891
1997,ak,fsr,billions of us dollars (USD),1.0228
1997,ak,osr,billions of us dollars (USD),1.2254
1997,ak,npish,billions of us dollars (USD),0.431
1997,ak,npi,billions of us dollars (USD),1.396
1997,ak,nps,billions of us dollars (USD),0.965
1997,az,pce,billions of us dollars (USD),91.9723
1997,az,gds,billions of us dollars (USD),34.4612
1997,az,dur,billions of us dollars (USD),12.8537
1997,az,mvp,billions of us dollars (USD),5.3118
1997,az,hdr,billions of us dollars (USD),3.0556
1997,az,rec,billions of us dollars (USD),2.9266
1997,az,odg,billions of us dollars (USD),1.5596
1997,az,ndr,billions of us dollars (USD),21.6076
1997,az,foo,billions of us dollars (USD),8.1298
1997,az,clo,billions of us dollars (USD),3.6231
1997,az,enr,billions of us dollars (USD),2.9409
1997,az,ong,billions of us dollars (USD),6.9137
1997,az,ser,billions of us dollars (USD),57.511
1997,az,hce,billions of us dollars (USD),56.58
1997,az,utl,billions of us dollars (USD),16.6317
1997,az,hea,billions of us dollars (USD),11.3362
1997,az,trn,billions of us dollars (USD),3.5163
1997,az,rsr,billions of us dollars (USD),3.3811
1997,az,htl,billions of us dollars (USD),6.7404
1997,az,fsr,billions of us dollars (USD),8.5065
1997,az,osr,billions of us dollars (USD),6.4679
1997,az,npish,billions of us dollars (USD),0.931
1997,az,npi,billions of us dollars (USD),6.409
1997,az,nps,billions of us dollars (USD),5.478
1997,ar,pce,billions of us dollars (USD),41.0572
1997,ar,gds,billions of us dollars (USD),17.1709
1997,ar,dur,billions of us dollars (USD),5.9429
1997,ar,mvp,billions of us dollars (USD),2.7378
1997,ar,hdr,billions of us dollars (USD),1.3101
1997,ar,rec,billions of us dollars (USD),1.1059
1997,ar,odg,billions of us dollars (USD),0.7891
1997,ar,ndr,billions of us dollars (USD),11.228
1997,ar,foo,billions of us dollars (USD),3.9493
1997,ar,clo,billions of us dollars (USD),2.0398
1997,ar,enr,billions of us dollars (USD),1.6356
1997,ar,ong,billions of us dollars (USD),3.6032
1997,ar,ser,billions of us dollars (USD),23.8863
1997,ar,hce,billions of us dollars (USD),23.4243
1997,ar,utl,billions of us dollars (USD),6.6239
1997,ar,hea,billions of us dollars (USD),6.5554
1997,ar,trn,billions of us dollars (USD),1.1283
1997,ar,rsr,billions of us dollars (USD),1.1367
1997,ar,htl,billions of us dollars (USD),2.3526
1997,ar,fsr,billions of us dollars (USD),2.7844
1997,ar,osr,billions of us dollars (USD),2.8429
1997,ar,npish,billions of us dollars (USD),0.462
1997,ar,npi,billions of us dollars (USD),3.305
1997,ar,nps,billions of us dollars (USD),2.843
1997,ca,pce,billions of us dollars (USD),689.1082
1997,ca,gds,billions of us dollars (USD),223.0576
1997,ca,dur,billions of us dollars (USD),81.2049
1997,ca,mvp,billions of us dollars (USD),28.0546
1997,ca,hdr,billions of us dollars (USD),17.482
1997,ca,rec,billions of us dollars (USD),25.7455
1997,ca,odg,billions of us dollars (USD),9.9227
1997,ca,ndr,billions of us dollars (USD),141.8527
1997,ca,foo,billions of us dollars (USD),54.7044
1997,ca,clo,billions of us dollars (USD),30.6042
1997,ca,enr,billions of us dollars (USD),14.6045
1997,ca,ong,billions of us dollars (USD),41.9395
1997,ca,ser,billions of us dollars (USD),466.0506
1997,ca,hce,billions of us dollars (USD),456.0835
1997,ca,utl,billions of us dollars (USD),149.518
1997,ca,hea,billions of us dollars (USD),93.4893
1997,ca,trn,billions of us dollars (USD),28.4549
1997,ca,rsr,billions of us dollars (USD),23.8277
1997,ca,htl,billions of us dollars (USD),43.5159
1997,ca,fsr,billions of us dollars (USD),64.095
1997,ca,osr,billions of us dollars (USD),53.1826
1997,ca,npish,billions of us dollars (USD),9.9671
1997,ca,npi,billions of us dollars (USD),55.7211
1997,ca,nps,billions of us dollars (USD),45.7539
1997,co,pce,billions of us dollars (USD),89.4696
1997,co,gds,billions of us dollars (USD),31.7434
1997,co,dur,billions of us dollars (USD),12.0945
1997,co,mvp,billions of us dollars (USD),4.2507
1997,co,hdr,billions of us dollars (USD),3.008
1997,co,rec,billions of us dollars (USD),3.2772
1997,co,odg,billions of us dollars (USD),1.5586
1997,co,ndr,billions of us dollars (USD),19.6488
1997,co,foo,billions of us dollars (USD),7.2588
1997,co,clo,billions of us dollars (USD),3.7204
1997,co,enr,billions of us dollars (USD),2.3631
1997,co,ong,billions of us dollars (USD),6.3066
1997,co,ser,billions of us dollars (USD),57.7263
1997,co,hce,billions of us dollars (USD),56.8093
1997,co,utl,billions of us dollars (USD),18.9344
1997,co,hea,billions of us dollars (USD),10.3176
1997,co,trn,billions of us dollars (USD),4.5384
1997,co,rsr,billions of us dollars (USD),3.7405
1997,co,htl,billions of us dollars (USD),6.7253
1997,co,fsr,billions of us dollars (USD),5.8897
1997,co,osr,billions of us dollars (USD),6.6634
1997,co,npish,billions of us dollars (USD),0.917
1997,co,npi,billions of us dollars (USD),6.775
1997,co,nps,billions of us dollars (USD),5.858
1997,ct,pce,billions of us dollars (USD),85.2052
1997,ct,gds,billions of us dollars (USD),28.8068
1997,ct,dur,billions of us dollars (USD),9.4595
1997,ct,mvp,billions of us dollars (USD),3.6647
1997,ct,hdr,billions of us dollars (USD),2.189
1997,ct,rec,billions of us dollars (USD),2.2826
1997,ct,odg,billions of us dollars (USD),1.3232
1997,ct,ndr,billions of us dollars (USD),19.3473
1997,ct,foo,billions of us dollars (USD),6.6297
1997,ct,clo,billions of us dollars (USD),3.8149
1997,ct,enr,billions of us dollars (USD),2.3548
1997,ct,ong,billions of us dollars (USD),6.548
1997,ct,ser,billions of us dollars (USD),56.3983
1997,ct,hce,billions of us dollars (USD),54.7013
1997,ct,utl,billions of us dollars (USD),16.7806
1997,ct,hea,billions of us dollars (USD),11.9441
1997,ct,trn,billions of us dollars (USD),3.4937
1997,ct,rsr,billions of us dollars (USD),2.6308
1997,ct,htl,billions of us dollars (USD),3.9822
1997,ct,fsr,billions of us dollars (USD),7.6826
1997,ct,osr,billions of us dollars (USD),8.1874
1997,ct,npish,billions of us dollars (USD),1.697
1997,ct,npi,billions of us dollars (USD),8.531
1997,ct,nps,billions of us dollars (USD),6.834
1997,de,pce,billions of us dollars (USD),16.2259
1997,de,gds,billions of us dollars (USD),6.04
1997,de,dur,billions of us dollars (USD),2.477
1997,de,mvp,billions of us dollars (USD),1.0576
1997,de,hdr,billions of us dollars (USD),0.3796
1997,de,rec,billions of us dollars (USD),0.6978
1997,de,odg,billions of us dollars (USD),0.342
1997,de,ndr,billions of us dollars (USD),3.563
