yr,r,ec,units,value
1997,al,TOTREV,billions of us dollars (USD),14.007883
1997,al,GENREV,billions of us dollars (USD),11.487011
1997,al,INTREV,billions of us dollars (USD),3.553541
1997,al,TAXREV,billions of us dollars (USD),5.484161
1997,al,GSALES,billions of us dollars (USD),1.505713
1997,al,SSALES,billions of us dollars (USD),1.360764
1997,al,LICTAX,billions of us dollars (USD),0.424165
1997,al,INDTAX,billions of us dollars (USD),1.687599
1997,al,CORTAX,billions of us dollars (USD),0.226616
1997,al,OTHTAX,billions of us dollars (USD),0.279304
1997,al,CURCHG,billions of us dollars (USD),1.779578
1997,al,MSCREV,billions of us dollars (USD),0.669731
1997,al,UTLREV,billions of us dollars (USD),0.0
1997,al,LIQREV,billions of us dollars (USD),0.139176
1997,al,INSREV,billions of us dollars (USD),2.381696
1997,al,TOTEXP,billions of us dollars (USD),12.944867
1997,al,INTEXP,billions of us dollars (USD),3.292491
1997,al,CUROPR,billions of us dollars (USD),7.24127
1997,al,CAPOUT,billions of us dollars (USD),0.770809
1997,al,INSBEN,billions of us dollars (USD),1.134137
1997,al,SUBSID,billions of us dollars (USD),0.282494
1997,al,INTRST,billions of us dollars (USD),0.223666
1997,al,SALARY,billions of us dollars (USD),2.468794
1997,al,GENEXP,billions of us dollars (USD),11.668841
1997,al,EDUCAT,billions of us dollars (USD),5.175279
1997,al,PUBWEL,billions of us dollars (USD),2.537627
1997,al,HOSPTL,billions of us dollars (USD),0.882613
1997,al,HEALTH,billions of us dollars (USD),0.566651
1997,al,HGHWAY,billions of us dollars (USD),0.837255
1997,al,POLICE,billions of us dollars (USD),0.093163
1997,al,CORREC,billions of us dollars (USD),0.23387
1997,al,NATRES,billions of us dollars (USD),0.175948
1997,al,PARKRC,billions of us dollars (USD),0.01632
1997,al,GOVADM,billions of us dollars (USD),0.300684
1997,al,INTGEN,billions of us dollars (USD),0.223666
1997,al,OTHUNA,billions of us dollars (USD),0.625765
1997,al,UTLEXP,billions of us dollars (USD),0.0
1997,al,LIQEXP,billions of us dollars (USD),0.141889
1997,al,INSEXP,billions of us dollars (USD),1.134137
1997,al,DEBTFY,billions of us dollars (USD),3.780493
1997,al,CASHSH,billions of us dollars (USD),21.63923
1997,ak,TOTREV,billions of us dollars (USD),9.438512
1997,ak,GENREV,billions of us dollars (USD),7.424923
1997,ak,INTREV,billions of us dollars (USD),1.042225
1997,ak,TAXREV,billions of us dollars (USD),1.61911
1997,ak,GSALES,billions of us dollars (USD),0.0
1997,ak,SSALES,billions of us dollars (USD),0.096014
1997,ak,LICTAX,billions of us dollars (USD),0.077924
1997,ak,INDTAX,billions of us dollars (USD),0.0
1997,ak,CORTAX,billions of us dollars (USD),0.331337
1997,ak,OTHTAX,billions of us dollars (USD),1.113835
1997,ak,CURCHG,billions of us dollars (USD),0.300407
1997,ak,MSCREV,billions of us dollars (USD),4.463181
1997,ak,UTLREV,billions of us dollars (USD),0.021016
1997,ak,LIQREV,billions of us dollars (USD),0.0
1997,ak,INSREV,billions of us dollars (USD),1.992573
1997,ak,TOTEXP,billions of us dollars (USD),5.722455
1997,ak,INTEXP,billions of us dollars (USD),1.015071
1997,ak,CUROPR,billions of us dollars (USD),3.309084
1997,ak,CAPOUT,billions of us dollars (USD),0.439775
1997,ak,INSBEN,billions of us dollars (USD),0.538748
1997,ak,SUBSID,billions of us dollars (USD),0.176749
1997,ak,INTRST,billions of us dollars (USD),0.243028
1997,ak,SALARY,billions of us dollars (USD),0.976442
1997,ak,GENEXP,billions of us dollars (USD),5.159684
1997,ak,EDUCAT,billions of us dollars (USD),1.198832
1997,ak,PUBWEL,billions of us dollars (USD),0.742419
1997,ak,HOSPTL,billions of us dollars (USD),0.02822
1997,ak,HEALTH,billions of us dollars (USD),0.159454
1997,ak,HGHWAY,billions of us dollars (USD),0.589804
1997,ak,POLICE,billions of us dollars (USD),0.056722
1997,ak,CORREC,billions of us dollars (USD),0.152126
1997,ak,NATRES,billions of us dollars (USD),0.288928
1997,ak,PARKRC,billions of us dollars (USD),0.015406
1997,ak,GOVADM,billions of us dollars (USD),0.334339
1997,ak,INTGEN,billions of us dollars (USD),0.226689
1997,ak,OTHUNA,billions of us dollars (USD),1.366745
1997,ak,UTLEXP,billions of us dollars (USD),0.024023
1997,ak,LIQEXP,billions of us dollars (USD),0.0
1997,ak,INSEXP,billions of us dollars (USD),0.538748
1997,ak,DEBTFY,billions of us dollars (USD),3.290599
1997,ak,CASHSH,billions of us dollars (USD),34.320002
1997,az,TOTREV,billions of us dollars (USD),13.692375
1997,az,GENREV,billions of us dollars (USD),11.499078
1997,az,INTREV,billions of us dollars (USD),3.237414
1997,az,TAXREV,billions of us dollars (USD),6.833806
1997,az,GSALES,billions of us dollars (USD),2.855234
1997,az,SSALES,billions of us dollars (USD),0.948216
1997,az,LICTAX,billions of us dollars (USD),0.4372
1997,az,INDTAX,billions of us dollars (USD),1.668414
1997,az,CORTAX,billions of us dollars (USD),0.60089
1997,az,OTHTAX,billions of us dollars (USD),0.323852
1997,az,CURCHG,billions of us dollars (USD),0.714261
1997,az,MSCREV,billions of us dollars (USD),0.713597
1997,az,UTLREV,billions of us dollars (USD),0.025167
1997,az,LIQREV,billions of us dollars (USD),0.0
1997,az,INSREV,billions of us dollars (USD),2.16813
1997,az,TOTEXP,billions of us dollars (USD),12.418681
1997,az,INTEXP,billions of us dollars (USD),4.528382
1997,az,CUROPR,billions of us dollars (USD),5.480384
1997,az,CAPOUT,billions of us dollars (USD),0.76811
1997,az,INSBEN,billions of us dollars (USD),1.124193
1997,az,SUBSID,billions of us dollars (USD),0.354768
1997,az,INTRST,billions of us dollars (USD),0.162844
1997,az,SALARY,billions of us dollars (USD),2.139788
1997,az,GENEXP,billions of us dollars (USD),11.266376
1997,az,EDUCAT,billions of us dollars (USD),4.033411
1997,az,PUBWEL,billions of us dollars (USD),2.688434
1997,az,HOSPTL,billions of us dollars (USD),0.054907
1997,az,HEALTH,billions of us dollars (USD),0.55878
1997,az,HGHWAY,billions of us dollars (USD),1.167477
1997,az,POLICE,billions of us dollars (USD),0.132094
1997,az,CORREC,billions of us dollars (USD),0.56415
1997,az,NATRES,billions of us dollars (USD),0.167453
1997,az,PARKRC,billions of us dollars (USD),0.043764
1997,az,GOVADM,billions of us dollars (USD),0.331261
1997,az,INTGEN,billions of us dollars (USD),0.159096
1997,az,OTHUNA,billions of us dollars (USD),1.365549
1997,az,UTLEXP,billions of us dollars (USD),0.028112
1997,az,LIQEXP,billions of us dollars (USD),0.0
1997,az,INSEXP,billions of us dollars (USD),1.124193
1997,az,DEBTFY,billions of us dollars (USD),2.74194
1997,az,CASHSH,billions of us dollars (USD),25.614579
1997,ar,TOTREV,billions of us dollars (USD),8.843946
1997,ar,GENREV,billions of us dollars (USD),7.290031
1997,ar,INTREV,billions of us dollars (USD),2.264482
1997,ar,TAXREV,billions of us dollars (USD),3.7766
1997,ar,GSALES,billions of us dollars (USD),1.429445
1997,ar,SSALES,billions of us dollars (USD),0.588205
1997,ar,LICTAX,billions of us dollars (USD),0.22179
1997,ar,INDTAX,billions of us dollars (USD),1.2466
1997,ar,CORTAX,billions of us dollars (USD),0.229982
1997,ar,OTHTAX,billions of us dollars (USD),0.060578
1997,ar,CURCHG,billions of us dollars (USD),0.791617
1997,ar,MSCREV,billions of us dollars (USD),0.457332
1997,ar,UTLREV,billions of us dollars (USD),0.0
1997,ar,LIQREV,billions of us dollars (USD),0.0
1997,ar,INSREV,billions of us dollars (USD),1.553915
1997,ar,TOTEXP,billions of us dollars (USD),7.684652
1997,ar,INTEXP,billions of us dollars (USD),1.967398
1997,ar,CUROPR,billions of us dollars (USD),4.224063
1997,ar,CAPOUT,billions of us dollars (USD),0.655413
1997,ar,INSBEN,billions of us dollars (USD),0.581719
1997,ar,SUBSID,billions of us dollars (USD),0.134506
1997,ar,INTRST,billions of us dollars (USD),0.121553
1997,ar,SALARY,billions of us dollars (USD),1.483034
1997,ar,GENEXP,billions of us dollars (USD),7.102933
1997,ar,EDUCAT,billions of us dollars (USD),2.819359
1997,ar,PUBWEL,billions of us dollars (USD),1.666931
1997,ar,HOSPTL,billions of us dollars (USD),0.362721
1997,ar,HEALTH,billions of us dollars (USD),0.261311
1997,ar,HGHWAY,billions of us dollars (USD),0.762961
1997,ar,POLICE,billions of us dollars (USD),0.060085
1997,ar,CORREC,billions of us dollars (USD),0.206131
1997,ar,NATRES,billions of us dollars (USD),0.137542
1997,ar,PARKRC,billions of us dollars (USD),0.04889
1997,ar,GOVADM,billions of us dollars (USD),0.246262
1997,ar,INTGEN,billions of us dollars (USD),0.121553
1997,ar,OTHUNA,billions of us dollars (USD),0.409187
1997,ar,UTLEXP,billions of us dollars (USD),0.0
1997,ar,LIQEXP,billions of us dollars (USD),0.0
1997,ar,INSEXP,billions of us dollars (USD),0.581719
1997,ar,DEBTFY,billions of us dollars (USD),2.24781
1997,ar,CASHSH,billions of us dollars (USD),11.898594
1997,ca,TOTREV,billions of us dollars (USD),131.099489
1997,ca,GENREV,billions of us dollars (USD),103.929227
1997,ca,INTREV,billions of us dollars (USD),30.345109
1997,ca,TAXREV,billions of us dollars (USD),61.666886
1997,ca,GSALES,billions of us dollars (USD),19.973609
1997,ca,SSALES,billions of us dollars (USD),5.248446
1997,ca,LICTAX,billions of us dollars (USD),2.96252
1997,ca,INDTAX,billions of us dollars (USD),23.272871
1997,ca,CORTAX,billions of us dollars (USD),5.803652
1997,ca,OTHTAX,billions of us dollars (USD),4.405788
1997,ca,CURCHG,billions of us dollars (USD),7.207415
1997,ca,MSCREV,billions of us dollars (USD),4.709817
1997,ca,UTLREV,billions of us dollars (USD),0.150978
1997,ca,LIQREV,billions of us dollars (USD),0.0
1997,ca,INSREV,billions of us dollars (USD),27.019284
1997,ca,TOTEXP,billions of us dollars (USD),117.209422
1997,ca,INTEXP,billions of us dollars (USD),49.635672
1997,ca,CUROPR,billions of us dollars (USD),45.977063
1997,ca,CAPOUT,billions of us dollars (USD),3.708494
1997,ca,INSBEN,billions of us dollars (USD),14.282023
1997,ca,SUBSID,billions of us dollars (USD),1.121672
1997,ca,INTRST,billions of us dollars (USD),2.484498
1997,ca,SALARY,billions of us dollars (USD),14.104634
1997,ca,GENEXP,billions of us dollars (USD),102.852971
1997,ca,EDUCAT,billions of us dollars (USD),35.546148
1997,ca,PUBWEL,billions of us dollars (USD),30.205384
1997,ca,HOSPTL,billions of us dollars (USD),2.91767
1997,ca,HEALTH,billions of us dollars (USD),6.083766
1997,ca,HGHWAY,billions of us dollars (USD),4.581485
1997,ca,POLICE,billions of us dollars (USD),1.038589
1997,ca,CORREC,billions of us dollars (USD),3.967874
1997,ca,NATRES,billions of us dollars (USD),2.011381
1997,ca,PARKRC,billions of us dollars (USD),0.248997
1997,ca,GOVADM,billions of us dollars (USD),3.163612
1997,ca,INTGEN,billions of us dollars (USD),2.482488
1997,ca,OTHUNA,billions of us dollars (USD),10.605577
1997,ca,UTLEXP,billions of us dollars (USD),0.074428
1997,ca,LIQEXP,billions of us dollars (USD),0.0
1997,ca,INSEXP,billions of us dollars (USD),14.282023
1997,ca,DEBTFY,billions of us dollars (USD),45.336911
1997,ca,CASHSH,billions of us dollars (USD),226.894985
1997,co,TOTREV,billions of us dollars (USD),12.779639
1997,co,GENREV,billions of us dollars (USD),9.944905
1997,co,INTREV,billions of us dollars (USD),2.595939
1997,co,TAXREV,billions of us dollars (USD),5.290131
1997,co,GSALES,billions of us dollars (USD),1.412903
1997,co,SSALES,billions of us dollars (USD),0.765797
1997,co,LICTAX,billions of us dollars (USD),0.261406
1997,co,INDTAX,billions of us dollars (USD),2.560337
1997,co,CORTAX,billions of us dollars (USD),0.224275
1997,co,OTHTAX,billions of us dollars (USD),0.065413
1997,co,CURCHG,billions of us dollars (USD),1.187138
1997,co,MSCREV,billions of us dollars (USD),0.871697
1997,co,UTLREV,billions of us dollars (USD),0.0
1997,co,LIQREV,billions of us dollars (USD),0.0
1997,co,INSREV,billions of us dollars (USD),2.834734
1997,co,TOTEXP,billions of us dollars (USD),10.861228
1997,co,INTEXP,billions of us dollars (USD),3.017473
1997,co,CUROPR,billions of us dollars (USD),5.302956
1997,co,CAPOUT,billions of us dollars (USD),0.742649
1997,co,INSBEN,billions of us dollars (USD),1.474681
1997,co,SUBSID,billions of us dollars (USD),0.084129
1997,co,INTRST,billions of us dollars (USD),0.23934
1997,co,SALARY,billions of us dollars (USD),2.083044
1997,co,GENEXP,billions of us dollars (USD),9.381494
1997,co,EDUCAT,billions of us dollars (USD),4.192249
1997,co,PUBWEL,billions of us dollars (USD),2.220679
1997,co,HOSPTL,billions of us dollars (USD),0.145875
1997,co,HEALTH,billions of us dollars (USD),0.247006
1997,co,HGHWAY,billions of us dollars (USD),0.809696
1997,co,POLICE,billions of us dollars (USD),0.05527
1997,co,CORREC,billions of us dollars (USD),0.455517
1997,co,NATRES,billions of us dollars (USD),0.151918
1997,co,PARKRC,billions of us dollars (USD),0.046588
1997,co,GOVADM,billions of us dollars (USD),0.334102
1997,co,INTGEN,billions of us dollars (USD),0.23586
1997,co,OTHUNA,billions of us dollars (USD),0.486734
1997,co,UTLEXP,billions of us dollars (USD),0.005053
1997,co,LIQEXP,billions of us dollars (USD),0.0
1997,co,INSEXP,billions of us dollars (USD),1.474681
1997,co,DEBTFY,billions of us dollars (USD),3.402235
1997,co,CASHSH,billions of us dollars (USD),23.591436
1997,ct,TOTREV,billions of us dollars (USD),14.51978
1997,ct,GENREV,billions of us dollars (USD),13.014623
1997,ct,INTREV,billions of us dollars (USD),2.943626
1997,ct,TAXREV,billions of us dollars (USD),8.145787
1997,ct,GSALES,billions of us dollars (USD),2.598337
1997,ct,SSALES,billions of us dollars (USD),1.566555
1997,ct,LICTAX,billions of us dollars (USD),0.341262
1997,ct,INDTAX,billions of us dollars (USD),2.807391
1997,ct,CORTAX,billions of us dollars (USD),0.53043
1997,ct,OTHTAX,billions of us dollars (USD),0.301812
1997,ct,CURCHG,billions of us dollars (USD),0.90516
1997,ct,MSCREV,billions of us dollars (USD),1.02005
1997,ct,UTLREV,billions of us dollars (USD),0.022004
1997,ct,LIQREV,billions of us dollars (USD),0.0
1997,ct,INSREV,billions of us dollars (USD),1.483153
1997,ct,TOTEXP,billions of us dollars (USD),13.826021
1997,ct,INTEXP,billions of us dollars (USD),2.480762
1997,ct,CUROPR,billions of us dollars (USD),7.379375
1997,ct,CAPOUT,billions of us dollars (USD),0.859196
1997,ct,INSBEN,billions of us dollars (USD),1.657056
1997,ct,SUBSID,billions of us dollars (USD),0.501572
1997,ct,INTRST,billions of us dollars (USD),0.94806
1997,ct,SALARY,billions of us dollars (USD),2.621209
1997,ct,GENEXP,billions of us dollars (USD),11.951814
1997,ct,EDUCAT,billions of us dollars (USD),2.894082
1997,ct,PUBWEL,billions of us dollars (USD),2.914519
1997,ct,HOSPTL,billions of us dollars (USD),0.977504
1997,ct,HEALTH,billions of us dollars (USD),0.402219
1997,ct,HGHWAY,billions of us dollars (USD),0.756474
1997,ct,POLICE,billions of us dollars (USD),0.109559
1997,ct,CORREC,billions of us dollars (USD),0.493772
